sex,age,height,weight,year,season,sport,event,medal
M,21,183,82,1972,Summer,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
M,25,183,82,1976,Summer,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
F,17,166,55,1972,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
M,24,185,100,1968,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
M,28,185,100,1972,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
M,20,170,89,1952,Summer,Athletics,Athletics Men's Hammer Throw,Gold
M,23,186,86,1968,Summer,Rowing,Rowing Men's Coxless Fours,Silver
M,25,175,70,1964,Summer,Football,Football Men's Football,Gold
M,24,185,91,1972,Summer,Water Polo,Water Polo Men's Water Polo,Silver
M,27,185,91,1976,Summer,Water Polo,Water Polo Men's Water Polo,Gold
M,23,183,81,1968,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
M,23,177,82,1964,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
M,25,185,86,1964,Summer,Volleyball,Volleyball Men's Volleyball,Silver
M,27,183,72,1976,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
M,24,170,62,1956,Summer,Athletics,Athletics Men's 400 metres Hurdles,Bronze
M,20,180,71,1960,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
M,44,168,66,1972,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
M,26,178,70,1936,Summer,Athletics,"Athletics Men's 1,500 metres",Silver
M,24,175,62,1960,Summer,Fencing,"Fencing Men's Foil, Team",Silver
M,17,171,70,1968,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
M,22,188,72,1960,Summer,Athletics,Athletics Men's 400 metres Hurdles,Silver
F,18,169,57,1956,Summer,Athletics,Athletics Women's 100 metres,Gold
F,18,169,57,1956,Summer,Athletics,Athletics Women's 200 metres,Gold
F,18,169,57,1956,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
F,26,169,57,1964,Summer,Athletics,Athletics Women's 400 metres,Gold
M,20,175,64,1968,Summer,Boxing,Boxing Men's Lightweight,Bronze
M,24,175,60,1976,Summer,Boxing,Boxing Men's Lightweight,Silver
M,27,196,92,1968,Summer,Basketball,Basketball Men's Basketball,Silver
M,26,171,69,1964,Summer,Football,Football Men's Football,Silver
M,21,189,86,1964,Summer,Rowing,Rowing Men's Coxed Eights,Gold
F,28,172,63,1964,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
F,32,172,63,1968,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
M,28,165,67,1976,Summer,Weightlifting,Weightlifting Men's Lightweight,Bronze
F,28,173,67,1980,Summer,Volleyball,Volleyball Women's Volleyball,Silver
M,38,182,89,1968,Summer,Shooting,Shooting Mixed Trap,Bronze
M,24,157,55.5,1976,Summer,Weightlifting,Weightlifting Men's Bantamweight,Silver
F,16,172,63,1980,Summer,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
M,26,185,82,1960,Summer,Water Polo,Water Polo Men's Water Polo,Gold
M,25,186,95,1976,Summer,Water Polo,Water Polo Men's Water Polo,Silver
M,21,186,74,1952,Summer,Athletics,Athletics Men's High Jump,Bronze
M,24,178,69,1952,Summer,Athletics,Athletics Men's Triple Jump,Gold
M,29,178,69,1956,Summer,Athletics,Athletics Men's Triple Jump,Gold
M,24,190,95,1968,Summer,Water Polo,Water Polo Men's Water Polo,Gold
M,22,175,64,1972,Summer,Fencing,"Fencing Men's Foil, Team",Gold
M,22,183,81,1976,Summer,Boxing,Boxing Men's Light-Heavyweight,Bronze
M,25,168,62,1956,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
M,28,168,62,1960,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
F,18,172,67,1980,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze
F,26,177,73,1976,Summer,Rowing,Rowing Women's Coxless Pairs,Silver
M,19,186,70,1976,Summer,Fencing,"Fencing Men's Foil, Individual",Gold
M,19,186,70,1976,Summer,Fencing,"Fencing Men's Foil, Team",Silver
M,24,183,85,1964,Summer,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
M,24,197,95,1976,Summer,Basketball,Basketball Men's Basketball,Silver
M,28,197,95,1980,Summer,Basketball,Basketball Men's Basketball,Gold
M,20,178,76,1964,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
M,19,178,82,1952,Summer,Football,Football Men's Football,Gold
M,27,178,82,1960,Summer,Football,Football Men's Football,Bronze
M,26,172,73,1964,Summer,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold
M,23,183,70,1980,Summer,Athletics,Athletics Men's 20 kilometres Walk,Gold
M,21,190,104,1980,Summer,Shooting,Shooting Mixed Trap,Bronze
M,22,184,80,1972,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
M,23,178,67,1976,Summer,Hockey,Hockey Men's Hockey,Silver
M,27,193,123,1964,Summer,Athletics,Athletics Men's Discus Throw,Silver
M,31,193,123,1968,Summer,Athletics,Athletics Men's Discus Throw,Bronze
M,35,193,123,1972,Summer,Athletics,Athletics Men's Discus Throw,Gold
M,31,183,80,1968,Summer,Basketball,Basketball Men's Basketball,Silver
F,18,173,65,1968,Summer,Swimming,Swimming Women's 100 metres Butterfly,Silver
F,18,173,65,1968,Summer,Swimming,Swimming Women's 200 metres Butterfly,Bronze
F,18,173,65,1968,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
F,22,173,65,1972,Summer,Swimming,Swimming Women's 200 metres Butterfly,Bronze
M,28,175,78,1976,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
M,36,165,50,1976,Summer,Rowing,Rowing Men's Coxed Eights,Gold
F,19,166,61,1956,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
M,23,180,79,1956,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
M,27,180,79,1960,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
M,19,171,63,1960,Summer,Boxing,Boxing Men's Light-Welterweight,Bronze
M,23,182,88,1956,Summer,Athletics,Athletics Men's Javelin Throw,Gold
M,21,180,74,1960,Summer,Football,Football Men's Football,Silver
M,21,195,95,1976,Summer,Basketball,Basketball Men's Basketball,Gold
M,25,169,74,1968,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
M,21,171,73,1956,Summer,Hockey,Hockey Men's Hockey,Silver
M,29,171,73,1964,Summer,Hockey,Hockey Men's Hockey,Silver
M,21,167,81,1968,Summer,Hockey,Hockey Men's Hockey,Gold
M,26,203,102,1956,Summer,Basketball,Basketball Men's Basketball,Gold
M,20,185,74,1960,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
M,20,165,52,1964,Summer,Rowing,Rowing Men's Coxed Pairs,Silver
M,23,190,74,1980,Summer,Football,Football Men's Football,Bronze
F,20,172,67,1980,Summer,Handball,Handball Women's Handball,Silver
M,24,172,78,1976,Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
F,24,190,75,1976,Summer,Basketball,Basketball Women's Basketball,Gold
M,25,186,84,1968,Summer,Athletics,Athletics Men's 110 metres Hurdles,Gold
M,33,186,84,1976,Summer,Athletics,Athletics Men's 110 metres Hurdles,Bronze
M,22,180,66,1972,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
M,26,180,66,1976,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
M,26,187,81,1972,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
M,28,186,80,1964,Summer,Basketball,Basketball Men's Basketball,Gold
M,26,185,68,1964,Summer,Athletics,"Athletics Men's 1,500 metres",Bronze
M,22,185,77,1964,Summer,Athletics,Athletics Men's Long Jump,Gold
F,17,180,67,1980,Summer,Swimming,Swimming Women's 400 metres Individual Medley,Silver
F,23,157,60,1980,Summer,Hockey,Hockey Women's Hockey,Gold
M,21,203,90,1952,Summer,Athletics,Athletics Men's High Jump,Gold
M,30,168,61,1976,Summer,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
M,22,183,73,1956,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
M,25,183,73,1960,Summer,Athletics,Athletics Men's 400 metres Hurdles,Gold
M,25,183,73,1960,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
M,21,190,70,1952,Summer,Athletics,Athletics Men's 110 metres Hurdles,Silver
M,26,190,70,1956,Summer,Athletics,Athletics Men's 110 metres Hurdles,Silver
M,23,180,82,1972,Summer,Basketball,Basketball Men's Basketball,Silver
M,28,185,74,1960,Summer,Athletics,Athletics Men's 400 metres,Gold
M,28,185,74,1960,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
M,21,195,86,1976,Summer,Basketball,Basketball Men's Basketball,Gold
M,20,178,60,1976,Summer,Boxing,Boxing Men's Lightweight,Gold
M,26,160,62,1976,Summer,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
F,18,148,45,1980,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Gold
F,18,148,45,1980,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
F,18,148,45,1980,Summer,Gymnastics,Gymnastics Women's Balance Beam,Silver
M,22,180,77,1968,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
M,29,188,74,1976,Summer,Hockey,Hockey Men's Hockey,Gold
M,16,175,86,1948,Summer,Sailing,Sailing Mixed Two Person Keelboat,Silver
F,16,168,55,1980,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
M,25,185,82,1976,Summer,Water Polo,Water Polo Men's Water Polo,Silver
M,22,190,84,1976,Summer,Water Polo,Water Polo Men's Water Polo,Silver
M,22,186,76,1976,Summer,Athletics,Athletics Men's Triple Jump,Bronze
M,26,186,76,1980,Summer,Athletics,Athletics Men's Triple Jump,Bronze
M,20,160,51,1968,Summer,Boxing,Boxing Men's Flyweight,Bronze
M,19,176,70,1980,Summer,Hockey,Hockey Men's Hockey,Silver
M,23,184,83,1964,Summer,Rowing,Rowing Men's Coxed Fours,Silver
M,22,186,96,1960,Summer,Boxing,Boxing Men's Heavyweight,Gold
M,31,178,74,1960,Summer,Sailing,Sailing Mixed Three Person Keelboat,Bronze
F,13,168,61,1960,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
F,17,168,61,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
F,17,168,61,1964,Summer,Swimming,Swimming Women's 400 metres Individual Medley,Gold
M,28,193,100,1976,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
M,21,201,102,1972,Summer,Sailing,Sailing Mixed Two Person Keelboat,Bronze
F,15,160,53,1972,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
M,22,175,79,1964,Summer,Hockey,Hockey Men's Hockey,Bronze
M,26,175,79,1968,Summer,Hockey,Hockey Men's Hockey,Silver
M,33,180,77,1964,Summer,Sailing,Sailing Mixed Three Person Keelboat,Bronze
M,32,175,85,1956,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
M,23,195,96,1976,Summer,Rowing,Rowing Men's Coxless Fours,Gold
M,27,195,96,1980,Summer,Rowing,Rowing Men's Coxless Fours,Gold
M,25,201,93,1968,Summer,Basketball,Basketball Men's Basketball,Gold
F,23,180,72,1976,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
M,21,185,83,1976,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
M,27,165,64,1960,Summer,Hockey,Hockey Men's Hockey,Bronze
M,25,181,77,1976,Summer,Water Polo,Water Polo Men's Water Polo,Silver
M,21,175,73,1980,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
M,41,174,86,1960,Summer,Sailing,Sailing Mixed Three Person Keelboat,Silver
M,27,183,93,1948,Summer,Athletics,Athletics Men's Shot Put,Silver
M,21,184,75,1956,Summer,Athletics,"Athletics Men's 1,500 metres",Gold
M,21,162,56,1980,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
M,21,162,56,1980,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
M,29,175,67,1964,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
M,33,175,67,1968,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
M,30,185,83,1952,Summer,Fencing,"Fencing Men's epee, Team",Gold
M,35,185,83,1956,Summer,Fencing,"Fencing Men's epee, Individual",Silver
M,35,185,83,1956,Summer,Fencing,"Fencing Men's epee, Team",Gold
M,38,185,83,1960,Summer,Fencing,"Fencing Men's epee, Individual",Gold
M,38,185,83,1960,Summer,Fencing,"Fencing Men's epee, Team",Gold
M,42,185,83,1964,Summer,Fencing,"Fencing Men's epee, Team",Silver
M,19,182,76,1980,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
M,21,161,51,1968,Summer,Boxing,Boxing Men's Flyweight,Gold
M,22,197,86,1976,Summer,Basketball,Basketball Men's Basketball,Silver
M,26,197,86,1980,Summer,Basketball,Basketball Men's Basketball,Gold
M,22,185,106,1980,Summer,Athletics,Athletics Men's Discus Throw,Bronze
M,28,204,102,1980,Summer,Basketball,Basketball Men's Basketball,Silver
M,30,175,62,1964,Summer,Athletics,"Athletics Men's 5,000 metres",Bronze
M,26,177,75,1956,Summer,Hockey,Hockey Men's Hockey,Bronze
M,28,183,80,1960,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
M,29,175,72,1964,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
M,24,155,56,1980,Summer,Weightlifting,Weightlifting Men's Bantamweight,Bronze
M,20,190,84,1972,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
M,24,184,88,1968,Summer,Rowing,Rowing Men's Single Sculls,Bronze
M,28,184,88,1972,Summer,Rowing,Rowing Men's Single Sculls,Silver
M,21,167,60,1980,Summer,Boxing,Boxing Men's Lightweight,Silver
M,22,183,76,1968,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
M,25,173,64,1972,Summer,Fencing,"Fencing Men's Foil, Team",Silver
M,34,140,56,1948,Summer,Weightlifting,Weightlifting Men's Bantamweight,Gold
M,19,182,82,1980,Summer,Hockey,Hockey Men's Hockey,Bronze
M,23,190,80,1948,Summer,Basketball,Basketball Men's Basketball,Silver
M,21,206,105,1980,Summer,Basketball,Basketball Men's Basketball,Bronze
F,21,180,69,1980,Summer,Basketball,Basketball Women's Basketball,Silver
F,24,163,59,1968,Summer,Fencing,"Fencing Women's Foil, Team",Bronze
F,27,163,59,1972,Summer,Fencing,"Fencing Women's Foil, Team",Bronze
F,23,171,64,1952,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
F,19,187,84,1980,Summer,Basketball,Basketball Women's Basketball,Bronze
M,33,180,88,1980,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
M,33,178,86,1980,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
F,16,166,61,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
M,19,185,85,1956,Summer,Swimming,Swimming Men's 100 metres Freestyle,Silver
M,19,185,85,1956,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
M,23,185,85,1960,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold
M,23,185,85,1960,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
M,20,187,70,1952,Summer,Athletics,Athletics Men's Triple Jump,Bronze
M,24,179,72,1972,Summer,Football,Football Men's Football,Gold
M,28,179,72,1976,Summer,Football,Football Men's Football,Silver
M,21,165,67,1960,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
M,20,193,88,1956,Summer,Rowing,Rowing Men's Coxless Fours,Gold
M,23,193,88,1960,Summer,Rowing,Rowing Men's Coxed Eights,Silver
M,33,174,64,1956,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
M,33,174,64,1956,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
M,37,174,64,1960,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
M,37,174,64,1960,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
M,41,174,64,1964,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
M,49,174,64,1972,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
M,31,176,72,1956,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Silver
M,31,176,72,1956,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Silver
M,35,176,72,1960,Summer,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
M,35,176,72,1960,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
M,39,176,72,1964,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
M,47,176,72,1972,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
M,21,182,86,1976,Summer,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
M,21,182,86,1976,Summer,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
M,25,182,86,1980,Summer,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
M,25,182,86,1980,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
M,17,180,74,1964,Summer,Diving,Diving Men's Platform,Silver
M,21,180,74,1968,Summer,Diving,Diving Men's Springboard,Silver
M,21,180,74,1968,Summer,Diving,Diving Men's Platform,Gold
M,24,180,74,1972,Summer,Diving,Diving Men's Platform,Gold
M,28,180,74,1976,Summer,Diving,Diving Men's Platform,Gold
M,17,172,54,1968,Summer,Rowing,Rowing Men's Coxed Fours,Gold
M,21,172,54,1972,Summer,Rowing,Rowing Men's Coxed Eights,Gold
M,25,172,54,1976,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
M,19,179,76,1960,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
M,23,179,76,1964,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
M,23,179,76,1964,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
M,23,195,98,1968,Summer,Rowing,Rowing Men's Coxed Eights,Silver
M,26,183,92,1980,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
M,26,192,94,1972,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
F,16,175,64,1980,Summer,Swimming,Swimming Women's 100 metres Freestyle,Bronze
F,16,175,64,1980,Summer,Swimming,Swimming Women's 200 metres Freestyle,Silver
F,16,175,64,1980,Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold
F,16,175,64,1980,Summer,Swimming,Swimming Women's 800 metres Freestyle,Silver
F,16,175,64,1980,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
M,22,187,76,1976,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
M,24,186,71,1976,Summer,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
M,21,189,83,1976,Summer,Rowing,Rowing Men's Coxed Fours,Silver
M,25,189,83,1980,Summer,Rowing,Rowing Men's Coxed Fours,Gold
M,21,188,84,1976,Summer,Rowing,Rowing Men's Coxed Fours,Silver
M,25,188,84,1980,Summer,Rowing,Rowing Men's Coxed Fours,Gold
M,26,163,50,1968,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
M,23,184,118,1956,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
M,26,184,118,1960,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
M,26,184,118,1960,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
M,30,184,118,1964,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
M,34,184,118,1968,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
M,22,183,90,1956,Summer,Football,Football Men's Football,Bronze
M,21,191,89,1976,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
M,21,179,78,1980,Summer,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
M,25,178,69,1948,Summer,Athletics,Athletics Men's 100 metres,Gold
M,25,178,69,1948,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
M,29,178,69,1952,Summer,Athletics,Athletics Men's 110 metres Hurdles,Gold
M,29,178,69,1952,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
M,19,186,75,1964,Summer,Swimming,Swimming Men's 200 metres Backstroke,Silver
M,23,188,99,1952,Summer,Athletics,Athletics Men's Discus Throw,Bronze
F,24,185,79,1976,Summer,Basketball,Basketball Women's Basketball,Bronze
F,28,185,79,1980,Summer,Basketball,Basketball Women's Basketball,Silver
M,28,186,82,1980,Summer,Volleyball,Volleyball Men's Volleyball,Silver
M,22,159,59,1980,Summer,Weightlifting,Weightlifting Men's Featherweight,Silver
M,21,176,69,1968,Summer,Football,Football Men's Football,Silver
M,25,177,76,1968,Summer,Football,Football Men's Football,Silver
F,25,178,62,1980,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
F,23,178,70,1980,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
M,22,197,87,1972,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
M,23,184,80,1968,Summer,Fencing,"Fencing Men's Foil, Team",Gold
M,20,175,68,1960,Summer,Hockey,Hockey Men's Hockey,Bronze
M,26,182,82,1972,Summer,Handball,Handball Men's Handball,Bronze
M,21,172,72,1964,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
M,25,172,72,1968,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
M,25,172,72,1968,Summer,Gymnastics,Gymnastics Men's Horse Vault,Bronze
M,19,198,86,1960,Summer,Basketball,Basketball Men's Basketball,Gold
M,23,180,71,1952,Summer,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
M,18,178,70,1976,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
M,18,178,70,1976,Summer,Gymnastics,Gymnastics Men's Rings,Silver
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Gold
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Horse Vault,Silver
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Rings,Gold
M,22,178,70,1980,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
M,22,188,72,1948,Summer,Athletics,Athletics Men's 110 metres Hurdles,Bronze
M,22,186,70,1972,Summer,Athletics,"Athletics Men's 1,500 metres",Bronze
F,21,177,70,1980,Summer,Rowing,Rowing Women's Coxless Pairs,Silver
M,23,154,48,1972,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold
M,27,154,48,1976,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
M,35,152,52,1980,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
M,19,178,75,1948,Summer,Fencing,"Fencing Men's Foil, Individual",Silver
M,19,178,75,1948,Summer,Fencing,"Fencing Men's Foil, Team",Gold
M,23,178,75,1952,Summer,Fencing,"Fencing Men's Foil, Individual",Gold
M,23,178,75,1952,Summer,Fencing,"Fencing Men's Foil, Team",Gold
M,28,178,75,1956,Summer,Fencing,"Fencing Men's Foil, Individual",Gold
M,28,178,75,1956,Summer,Fencing,"Fencing Men's Foil, Team",Silver
M,22,190,81,1980,Summer,Rowing,Rowing Men's Coxed Eights,Gold
M,26,150,51,1956,Summer,Boxing,Boxing Men's Flyweight,Silver
M,22,189,88,1980,Summer,Rowing,Rowing Men's Quadruple Sculls,Bronze
M,25,175,79,1956,Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
M,29,175,79,1960,Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
F,22,151,45,1980,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
M,29,187,88,1980,Summer,Handball,Handball Men's Handball,Gold
F,15,164,50,1960,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
M,25,196,96,1976,Summer,Rowing,Rowing Men's Coxed Eights,Gold
M,29,196,96,1980,Summer,Rowing,Rowing Men's Coxed Fours,Gold
M,31,173,67,1952,Summer,Athletics,Athletics Men's 50 kilometres Walk,Silver
M,22,187,99,1968,Summer,Water Polo,Water Polo Men's Water Polo,Silver
M,26,187,99,1972,Summer,Water Polo,Water Polo Men's Water Polo,Gold
M,20,190,77,1980,Summer,Swimming,Swimming Men's 100 metres Backstroke,Bronze
M,22,191,87,1976,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
M,26,191,87,1980,Summer,Rowing,Rowing Men's Coxless Fours,Silver
M,21,186,150,1972,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze
M,28,183,74,1972,Summer,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze
M,32,183,74,1976,Summer,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze
M,18,178,71,1964,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
F,35,173,83,1980,Summer,Athletics,Athletics Women's Shot Put,Silver
M,25,187,83,1972,Summer,Volleyball,Volleyball Men's Volleyball,Bronze
F,16,159,44,1976,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
F,16,159,44,1976,Summer,Gymnastics,Gymnastics Women's Horse Vault,Silver
M,21,187,87,1980,Summer,Athletics,Athletics Men's Long Jump,Gold
M,22,192,88,1972,Summer,Basketball,Basketball Men's Basketball,Bronze
F,24,165,55,1960,Summer,Fencing,"Fencing Women's Foil, Team",Silver
F,28,165,55,1964,Summer,Fencing,"Fencing Women's Foil, Team",Gold
F,32,165,55,1968,Summer,Fencing,"Fencing Women's Foil, Team",Silver
M,25,186,84,1960,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
M,29,186,84,1964,Summer,Water Polo,Water Polo Men's Water Polo,Gold
M,33,186,84,1968,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
M,21,174,60,1936,Summer,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze
M,26,165,58,1980,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
F,29,166,55,1960,Summer,Athletics,Athletics Women's 800 metres,Bronze
F,34,176,72,1980,Summer,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
M,23,178,77,1968,Summer,Football,Football Men's Football,Silver
M,26,183,74,1952,Summer,Athletics,Athletics Men's 50 kilometres Walk,Gold
M,25,175,73,1976,Summer,Football,Football Men's Football,Gold
M,22,194,94,1976,Summer,Volleyball,Volleyball Men's Volleyball,Silver
M,26,194,94,1980,Summer,Volleyball,Volleyball Men's Volleyball,Gold
M,23,180,65,1968,Summer,Athletics,Athletics Men's 800 metres,Gold
M,21,198,94,1968,Summer,Rowing,Rowing Men's Coxed Eights,Silver
M,26,175,67,1948,Summer,Athletics,Athletics Men's Long Jump,Bronze
