sex,age,height,weight,year,season,sport,event,medal
M,20,176,89,1980,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
F,19,180,83,1976,Summer,Rowing,Rowing Women's Coxed Quadruple Sculls,Silver
F,23,180,83,1980,Summer,Rowing,Rowing Women's Double Sculls,Gold
M,30,185,160,1972,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
M,34,185,160,1976,Summer,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
F,17,157,50,1964,Summer,Diving,Diving Women's Platform,Bronze
M,24,188,74,1960,Summer,Fencing,"Fencing Men's epee, Team",Silver
M,26,157,52,1980,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
M,26,189,81,1972,Summer,Boxing,Boxing Men's Heavyweight,Silver
M,23,184,74,1976,Summer,Diving,Diving Men's Platform,Bronze
M,27,184,74,1980,Summer,Diving,Diving Men's Platform,Silver
F,30,170,62,1976,Summer,Athletics,Athletics Women's Long Jump,Bronze
M,23,183,77,1948,Summer,Basketball,Basketball Men's Basketball,Bronze
M,35,183,77,1960,Summer,Basketball,Basketball Men's Basketball,Bronze
M,22,165,61,1964,Summer,Hockey,Hockey Men's Hockey,Gold
M,29,158,48,1972,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Silver
M,24,188,95,1972,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
M,54,180,71,1968,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
M,54,180,71,1968,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
F,15,163,59,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
M,28,182,70,1948,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
M,22,198,97,1972,Summer,Basketball,Basketball Men's Basketball,Bronze
M,28,177,75,1972,Summer,Boxing,Boxing Men's Middleweight,Bronze
M,34,193,80,1980,Summer,Hockey,Hockey Men's Hockey,Silver
M,20,183,67,1960,Summer,Hockey,Hockey Men's Hockey,Bronze
M,24,190,90,1960,Summer,Basketball,Basketball Men's Basketball,Bronze
M,28,190,90,1964,Summer,Basketball,Basketball Men's Basketball,Bronze
M,21,174,77,1960,Summer,Water Polo,Water Polo Men's Water Polo,Gold
M,31,185,90,1964,Summer,Water Polo,Water Polo Men's Water Polo,Gold
M,23,173,74,1972,Summer,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
M,27,186,86,1964,Summer,Rowing,Rowing Men's Coxed Eights,Gold
M,29,186,91,1964,Summer,Rowing,Rowing Men's Coxed Eights,Gold
M,43,183,71,1976,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
F,24,163,55,1964,Summer,Athletics,Athletics Women's 400 metres,Bronze
F,19,183,70,1976,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
M,23,195,88,1968,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
M,27,195,88,1972,Summer,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
M,31,188,84,1936,Summer,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Gold
M,24,185,80,1980,Summer,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
F,19,176,65,1980,Summer,Handball,Handball Women's Handball,Silver
M,26,178,77,1972,Summer,Football,Football Men's Football,Gold
M,30,173,73,1960,Summer,Football,Football Men's Football,Silver
M,23,190,86,1960,Summer,Rowing,Rowing Men's Coxed Eights,Silver
M,25,183,77,1964,Summer,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
M,29,183,77,1968,Summer,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold
M,33,183,89,1972,Summer,Sailing,Sailing Mixed Two Person Keelboat,Gold
M,33,183,86,1968,Summer,Sailing,Sailing Mixed 5.5 metres,Bronze
M,24,178,141,1956,Summer,Weightlifting,Weightlifting Men's Heavyweight,Gold
M,33,183,89,1972,Summer,Sailing,Sailing Mixed Three Person Keelboat,Gold
M,24,194,125,1976,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
M,28,194,125,1980,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
M,26,154,59,1976,Summer,Weightlifting,Weightlifting Men's Bantamweight,Bronze
M,25,178,68,1956,Summer,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
M,18,163,61,1964,Summer,Diving,Diving Men's Springboard,Bronze
M,27,190,88,1976,Summer,Rowing,Rowing Men's Coxless Fours,Silver
M,24,190,101,1980,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
M,23,173,73,1964,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
F,16,162,54,1960,Summer,Swimming,Swimming Women's 100 metres Butterfly,Bronze
F,16,162,54,1960,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
M,24,173,70,1980,Summer,Football,Football Men's Football,Bronze
M,23,215,90,1968,Summer,Basketball,Basketball Men's Basketball,Bronze
F,21,180,85,1980,Summer,Volleyball,Volleyball Women's Volleyball,Gold
M,19,166,60,1972,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
M,19,166,60,1972,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Gold
M,19,166,60,1972,Summer,Gymnastics,Gymnastics Men's Horse Vault,Bronze
M,23,166,60,1976,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Gold
M,23,166,60,1976,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
M,23,166,60,1976,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Gold
M,23,166,60,1976,Summer,Gymnastics,Gymnastics Men's Horse Vault,Gold
M,23,166,60,1976,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
M,23,166,60,1976,Summer,Gymnastics,Gymnastics Men's Rings,Gold
M,23,166,60,1976,Summer,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
M,27,166,60,1980,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Silver
M,27,166,60,1980,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
M,27,166,60,1980,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Silver
M,27,166,60,1980,Summer,Gymnastics,Gymnastics Men's Horse Vault,Gold
M,27,166,60,1980,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
M,25,174,70,1972,Summer,Football,Football Men's Football,Bronze
M,27,176,75,1964,Summer,Rowing,Rowing Men's Double Sculls,Bronze
M,26,186,72,1968,Summer,Fencing,"Fencing Men's epee, Team",Bronze
M,24,170,63,1972,Summer,Boxing,Boxing Men's Light-Welterweight,Silver
M,25,152,48,1972,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
M,29,152,48,1976,Summer,Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",Bronze
M,26,196,86,1980,Summer,Volleyball,Volleyball Men's Volleyball,Silver
M,26,177,64,1964,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
F,21,163,63,1976,Summer,Handball,Handball Women's Handball,Bronze
F,26,172,65,1976,Summer,Athletics,Athletics Women's 100 metres Hurdles,Silver
F,24,167,52,1976,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
F,28,167,52,1980,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
F,18,160,52,1976,Summer,Swimming,Swimming Women's 100 metres Breaststroke,Gold
F,18,160,52,1976,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
M,23,177,79,1960,Summer,Football,Football Men's Football,Gold
M,22,203,96,1976,Summer,Handball,Handball Men's Handball,Gold
M,26,203,96,1980,Summer,Handball,Handball Men's Handball,Silver
F,27,164,66,1964,Summer,Athletics,Athletics Women's Javelin Throw,Silver
M,28,188,82,1976,Summer,Handball,Handball Men's Handball,Bronze
M,22,173,54,1980,Summer,Boxing,Boxing Men's Bantamweight,Bronze
M,29,168,59,1960,Summer,Hockey,Hockey Men's Hockey,Silver
F,23,180,78,1976,Summer,Rowing,Rowing Women's Single Sculls,Bronze
M,27,187,100,1948,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
M,30,187,100,1952,Summer,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
M,25,179,79,1960,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
M,20,193,83,1968,Summer,Volleyball,Volleyball Men's Volleyball,Gold
M,26,167,63,1952,Summer,Athletics,"Athletics Men's 10,000 metres",Bronze
M,20,170,71,1964,Summer,Hockey,Hockey Men's Hockey,Silver
M,24,170,71,1968,Summer,Hockey,Hockey Men's Hockey,Gold
M,28,170,71,1972,Summer,Hockey,Hockey Men's Hockey,Silver
F,19,164,63,1972,Summer,Swimming,Swimming Women's 100 metres Butterfly,Gold
F,25,175,67,1980,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
M,26,170,69,1972,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
M,27,178,73,1964,Summer,Fencing,"Fencing Men's Sabre, Individual",Silver
M,27,164,64,1976,Summer,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
F,22,173,67,1976,Summer,Volleyball,Volleyball Women's Volleyball,Gold
M,29,180,82,1980,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
F,18,179,75,1980,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
M,28,170,64,1980,Summer,Hockey,Hockey Men's Hockey,Silver
M,27,170,72,1980,Summer,Hockey,Hockey Men's Hockey,Silver
M,24,177,68,1976,Summer,Hockey,Hockey Men's Hockey,Gold
M,20,174,74,1976,Summer,Fencing,"Fencing Men's Sabre, Team",Silver
F,22,167,60,1964,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
M,27,172,63,1964,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
M,35,172,63,1972,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
M,23,168,65,1960,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
M,23,178,65,1980,Summer,Athletics,Athletics Men's 400 metres Hurdles,Silver
F,19,171,64,1952,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
F,23,171,64,1956,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
M,20,190,77,1976,Summer,Basketball,Basketball Men's Basketball,Gold
M,23,186,82,1976,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
M,21,188,79,1960,Summer,Basketball,Basketball Men's Basketball,Gold
M,21,178,83,1956,Summer,Rowing,Rowing Men's Coxless Fours,Gold
M,25,178,83,1960,Summer,Rowing,Rowing Men's Coxed Eights,Silver
M,27,189,97,1972,Summer,Handball,Handball Men's Handball,Gold
M,20,183,74,1980,Summer,Swimming,Swimming Men's 100 metres Butterfly,Gold
M,25,190,87,1976,Summer,Basketball,Basketball Men's Basketball,Bronze
M,24,179,68,1972,Summer,Athletics,Athletics Men's 800 metres,Silver
M,22,178,68,1968,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
M,26,178,68,1972,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
M,27,171,71,1964,Summer,Fencing,"Fencing Men's Sabre, Team",Gold
M,23,188,82,1972,Summer,Water Polo,Water Polo Men's Water Polo,Bronze
M,24,176,74,1972,Summer,Hockey,Hockey Men's Hockey,Silver
M,28,176,74,1976,Summer,Hockey,Hockey Men's Hockey,Bronze
M,29,178,66,1952,Summer,Athletics,"Athletics Men's 3,000 metres Steeplechase",Gold
M,22,174,74,1972,Summer,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze
M,22,180,75,1964,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
M,26,174,65,1936,Summer,Athletics,"Athletics Men's 10,000 metres",Silver
M,24,179,70,1960,Summer,Hockey,Hockey Men's Hockey,Gold
M,32,172,71,1980,Summer,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
M,24,184,72,1968,Summer,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
F,20,166,56,1956,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
F,20,166,56,1956,Summer,Gymnastics,Gymnastics Women's Team Portable Apparatus,Bronze
F,23,166,56,1960,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
F,23,166,56,1960,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
F,23,166,56,1960,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Silver
F,23,166,56,1960,Summer,Gymnastics,Gymnastics Women's Uneven Bars,Gold
F,27,166,56,1964,Summer,Gymnastics,Gymnastics Women's Individual All-Around,Bronze
F,27,166,56,1964,Summer,Gymnastics,Gymnastics Women's Team All-Around,Gold
F,27,166,56,1964,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Silver
F,27,166,56,1964,Summer,Gymnastics,Gymnastics Women's Uneven Bars,Gold
M,30,186,82,1976,Summer,Football,Football Men's Football,Bronze
F,21,179,70,1968,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
M,34,171,78,1968,Summer,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
M,28,187,73,1956,Summer,Hockey,Hockey Men's Hockey,Silver
M,31,187,73,1960,Summer,Hockey,Hockey Men's Hockey,Gold
M,36,187,73,1964,Summer,Hockey,Hockey Men's Hockey,Silver
F,19,170,66,1972,Summer,Swimming,Swimming Women's 100 metres Backstroke,Bronze
F,19,170,66,1972,Summer,Swimming,Swimming Women's 200 metres Backstroke,Silver
F,19,170,66,1972,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
M,22,158,51,1964,Summer,Boxing,Boxing Men's Flyweight,Gold
M,29,189,95,1972,Summer,Rowing,Rowing Men's Coxed Fours,Gold
M,35,175,73,1972,Summer,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Silver
F,22,168,58,1980,Summer,Athletics,Athletics Women's 100 metres,Bronze
F,22,168,58,1980,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
M,24,189,88,1964,Summer,Athletics,Athletics Men's Decathlon,Silver
M,21,185,85,1964,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
M,24,191,89,1972,Summer,Athletics,Athletics Men's Decathlon,Gold
M,27,191,89,1976,Summer,Athletics,Athletics Men's Decathlon,Bronze
M,39,183,86,1960,Summer,Fencing,"Fencing Men's Foil, Individual",Bronze
M,27,178,74.5,1948,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Bronze
M,27,178,74.5,1948,Summer,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
M,26,178,97,1964,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
M,30,178,97,1968,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
M,21,193,86,1956,Summer,Rowing,Rowing Men's Coxed Pairs,Gold
M,25,193,86,1960,Summer,Rowing,Rowing Men's Coxless Fours,Gold
M,26,173,70,1964,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
M,22,171,67,1964,Summer,Hockey,Hockey Men's Hockey,Silver
M,27,174,72,1956,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
M,27,174,72,1956,Summer,Gymnastics,Gymnastics Men's Rings,Gold
M,31,174,72,1960,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
M,31,174,72,1960,Summer,Gymnastics,Gymnastics Men's Rings,Gold
M,22,175,68,1980,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
M,27,178,80,1980,Summer,Judo,Judo Men's Middleweight,Silver
M,26,178,71,1964,Summer,Hockey,Hockey Men's Hockey,Silver
M,30,178,71,1968,Summer,Hockey,Hockey Men's Hockey,Gold
M,29,171,73,1980,Summer,Hockey,Hockey Men's Hockey,Bronze
F,21,173,62,1964,Summer,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
F,21,173,62,1964,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
M,21,191,84,1976,Summer,Swimming,Swimming Men's 100 metres Freestyle,Silver
M,21,191,84,1976,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
F,15,178,67,1972,Summer,Swimming,Swimming Women's 100 metres Freestyle,Silver
F,15,178,67,1972,Summer,Swimming,Swimming Women's 200 metres Freestyle,Silver
F,15,178,67,1972,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
